crash_date,latitude,longitude,num_of_ped_injured
2023/02/08 00:00:00.000,40.725773,-74.00091,1
2023/02/08 00:00:00.000,40.785786,-73.978546,1
2023/02/08 00:00:00.000,40.75728,-73.99721,1
2023/02/08 00:00:00.000,40.86811,-73.91976,2
2023/02/08 00:00:00.000,40.75831,-73.96294,1
2023/02/08 00:00:00.000,40.71908,-73.98508,1
2023/02/09 00:00:00.000,40.731544,-73.9992,1
2023/02/09 00:00:00.000,40.737885,-73.98091,1
2023/02/09 00:00:00.000,40.790997,-73.95143,1
2023/02/09 00:00:00.000,40.863018,-73.917564,1
2023/02/09 00:00:00.000,40.797215,-73.969925,1
2023/02/10 00:00:00.000,40.82138,-73.95414,1
2023/02/11 00:00:00.000,40.763588,-73.97142,1
2023/02/11 00:00:00.000,40.815758,-73.958374,1
2023/02/11 00:00:00.000,40.757633,-73.986755,1
2023/02/11 00:00:00.000,40.821636,-73.93909,1
2023/02/11 00:00:00.000,40.719337,-73.985916,1
2023/02/11 00:00:00.000,40.766045,-73.983376,1
2023/02/11 00:00:00.000,40.706146,-74.00496,1
2023/02/11 00:00:00.000,40.74463,-73.99898,1
2023/02/11 00:00:00.000,40.848625,-73.93425,1
2023/02/12 00:00:00.000,40.75348,-73.98677,1
2023/02/12 00:00:00.000,40.8055,-73.94007,1
2023/02/12 00:00:00.000,40.809063,-73.951996,1
2023/02/13 00:00:00.000,40.760353,-73.99124,1
2023/02/13 00:00:00.000,40.788418,-73.97077,1
2023/02/13 00:00:00.000,40.797306,-73.93446,1
2023/02/13 00:00:00.000,40.804417,-73.955376,1
2023/02/13 00:00:00.000,40.774113,-73.98863,1
2023/02/13 00:00:00.000,40.721474,-73.98383,1
2023/02/14 00:00:00.000,40.75713,-73.98953,1
2023/02/15 00:00:00.000,40.81632,-73.95784,1
2023/02/15 00:00:00.000,40.71593,-73.98958,1
2023/02/15 00:00:00.000,40.779495,-73.9535,1
2023/02/15 00:00:00.000,40.737797,-73.99013,1
2023/02/16 00:00:00.000,40.747078,-73.981346,1
2023/02/16 00:00:00.000,40.758377,-73.994385,1
2023/02/16 00:00:00.000,40.807095,-73.945984,1
2023/02/17 00:00:00.000,40.8165,-73.946556,1
2023/02/17 00:00:00.000,40.775246,-73.94763,1
2023/02/17 00:00:00.000,40.749825,-73.972206,1
2023/02/17 00:00:00.000,40.842915,-73.9366,1
2023/02/17 00:00:00.000,40.777905,-73.98209,1
2023/02/17 00:00:00.000,40.86743,-73.92193,1
2023/02/17 00:00:00.000,40.859943,-73.926796,1
2023/02/18 00:00:00.000,40.744556,-73.983185,1
2023/02/18 00:00:00.000,40.798935,-73.93637,1
2023/02/19 00:00:00.000,40.73902,-73.97335,1
2023/02/19 00:00:00.000,40.794735,-73.96988,1
2023/02/20 00:00:00.000,40.762913,-73.96981,1
2023/02/20 00:00:00.000,0,0,2
2023/02/20 00:00:00.000,40.77981,-73.95035,1
2023/02/20 00:00:00.000,40.75866,-73.98875,1
2023/02/21 00:00:00.000,40.7224,-73.99165,1
2023/02/21 00:00:00.000,40.725735,-73.996506,1
2023/02/22 00:00:00.000,40.823315,-73.94901,1
2023/02/22 00:00:00.000,40.838497,-73.939835,1
2023/02/22 00:00:00.000,40.71139,-74.008606,1
2023/02/22 00:00:00.000,40.706852,-74.00501,1
2023/02/23 00:00:00.000,40.71504,-73.99681,1
2023/02/23 00:00:00.000,40.764896,-73.97256,1
