crash_date,latitude,longitude,num_of_motorist_injured
2023/01/26 00:00:00.000,40.807713,-73.94132,1
2023/01/26 00:00:00.000,40.86676,-73.920616,1
2023/01/27 00:00:00.000,40.8478,-73.93486,1
2023/01/27 00:00:00.000,40.81838,-73.94699,1
2023/01/27 00:00:00.000,40.763115,-73.99966,1
2023/01/27 00:00:00.000,40.80275,-73.93358,2
2023/01/27 00:00:00.000,40.79996,-73.94698,2
2023/01/27 00:00:00.000,40.801594,-73.934364,1
2023/01/28 00:00:00.000,40.732258,-73.990166,1
2023/01/28 00:00:00.000,40.790405,-73.94762,1
2023/01/28 00:00:00.000,40.78029,-73.94386,4
2023/01/28 00:00:00.000,40.78069,-73.9466,1
2023/01/28 00:00:00.000,40.71685,-73.99454,2
2023/01/28 00:00:00.000,40.749054,-73.99576,1
2023/01/28 00:00:00.000,40.711033,-74.01454,2
2023/01/29 00:00:00.000,40.74456,-73.971375,2
2023/01/29 00:00:00.000,40.74577,-73.97043,1
2023/01/29 00:00:00.000,40.7616,-73.96865,1
2023/01/29 00:00:00.000,40.8115,-73.93481,3
2023/01/29 00:00:00.000,40.73975,-74.00253,1
2023/01/29 00:00:00.000,40.719902,-74.00261,1
2023/01/29 00:00:00.000,40.830265,-73.95131,1
2023/01/30 00:00:00.000,40.76202,-73.98745,1
2023/01/30 00:00:00.000,40.8662,-73.92807,3
2023/01/30 00:00:00.000,40.83806,-73.94665,2
2023/01/30 00:00:00.000,40.752743,-73.97511,1
2023/01/30 00:00:00.000,40.759624,-73.99548,1
2023/01/30 00:00:00.000,40.801918,-73.94344,3
2023/01/30 00:00:00.000,40.863018,-73.917564,3
2023/01/31 00:00:00.000,40.725082,-73.99534,2
2023/01/31 00:00:00.000,40.727657,-73.99128,1
2023/01/31 00:00:00.000,0,0,1
2023/01/31 00:00:00.000,40.768875,-73.94898,2
2023/01/31 00:00:00.000,40.754677,-73.975815,1
2023/01/31 00:00:00.000,40.825706,-73.93984,1
2023/01/31 00:00:00.000,40.84992,-73.93148,1
2023/01/31 00:00:00.000,40.758377,-73.994385,2
2023/02/01 00:00:00.000,40.745728,-73.97813,1
2023/02/01 00:00:00.000,40.72595,-73.99633,1
2023/02/01 00:00:00.000,40.763363,-73.95925,1
2023/02/01 00:00:00.000,40.787746,-73.94454,1
2023/02/01 00:00:00.000,40.76258,-74.0004,1
2023/02/02 00:00:00.000,40.73555,-73.979355,1
2023/02/02 00:00:00.000,40.810448,-73.95284,1
2023/02/02 00:00:00.000,40.763954,-73.98425,1
2023/02/02 00:00:00.000,40.779144,-73.94478,1
2023/02/02 00:00:00.000,40.78318,-73.94362,2
2023/02/02 00:00:00.000,40.810173,-73.937416,1
2023/02/02 00:00:00.000,40.745403,-73.97737,1
2023/02/03 00:00:00.000,40.752888,-73.96374,3
2023/02/03 00:00:00.000,40.81569,-73.958305,1
2023/02/03 00:00:00.000,40.84784,-73.93953,3
2023/02/03 00:00:00.000,40.73059,-73.99242,2
2023/02/03 00:00:00.000,40.771782,-73.96333,1
2023/02/03 00:00:00.000,40.79989,-73.93859,1
2023/02/03 00:00:00.000,40.78318,-73.94362,1
2023/02/03 00:00:00.000,40.743206,-73.979965000000007,1
2023/02/03 00:00:00.000,40.76635,-73.95103,1
2023/02/03 00:00:00.000,40.76635,-73.95103,1
2023/02/03 00:00:00.000,40.709362,-73.9943,1
2023/02/03 00:00:00.000,40.866333,-73.92501,2
2023/02/04 00:00:00.000,40.828728,-73.95221,3
2023/02/04 00:00:00.000,40.78739,-73.938225,1
2023/02/04 00:00:00.000,40.842957,-73.93468,1
2023/02/04 00:00:00.000,40.772156,-73.94541,1
2023/02/04 00:00:00.000,40.76665,-73.99257,1
2023/02/05 00:00:00.000,40.766956,-73.95609,1
2023/02/05 00:00:00.000,40.762287,-73.972374,2
2023/02/05 00:00:00.000,40.767612,-73.950005,1
2023/02/05 00:00:00.000,40.738686,-73.99588,2
2023/02/06 00:00:00.000,40.81653,-73.93488,2
2023/02/06 00:00:00.000,40.74738,-73.98606,1
2023/02/06 00:00:00.000,40.763096,-73.96757,1
2023/02/06 00:00:00.000,40.751793,-73.97688,1
2023/02/06 00:00:00.000,40.848118,-73.93089,2
2023/02/06 00:00:00.000,40.867012,-73.92312,1
2023/02/06 00:00:00.000,40.79672,-73.97618,1
2023/02/06 00:00:00.000,40.79483,-73.95035,1
2023/02/07 00:00:00.000,40.716278,-74.00454,2
2023/02/07 00:00:00.000,40.800663,-73.946465,1
2023/02/07 00:00:00.000,40.82403,-73.94476,1
2023/02/07 00:00:00.000,40.800232,-73.95248,1
2023/02/07 00:00:00.000,40.715046,-73.9837,1
2023/02/07 00:00:00.000,40.752888,-73.96374,2
2023/02/08 00:00:00.000,40.82269,-73.94947,1
2023/02/08 00:00:00.000,40.84105,-73.94469,1
2023/02/08 00:00:00.000,40.788586,-73.95529,3
2023/02/08 00:00:00.000,40.749172,-73.967026,1
2023/02/08 00:00:00.000,40.75224,-73.97971,1
2023/02/08 00:00:00.000,40.866024,-73.92588,1
2023/02/09 00:00:00.000,40.768528,-73.9816,1
2023/02/09 00:00:00.000,40.79672,-73.97618,2
2023/02/09 00:00:00.000,40.7968,-73.929375,1
2023/02/09 00:00:00.000,40.836098,-73.934875,1
2023/02/09 00:00:00.000,0,0,3
2023/02/09 00:00:00.000,40.774853,-73.98067,1
2023/02/09 00:00:00.000,40.732845,-73.995926,1
2023/02/10 00:00:00.000,40.762287,-73.97027,1
2023/02/10 00:00:00.000,40.839302000000004,-73.936165,1
2023/02/10 00:00:00.000,40.753242,-73.96662,1
2023/02/10 00:00:00.000,0,0,2
2023/02/10 00:00:00.000,40.824562,-73.948105,1
2023/02/10 00:00:00.000,40.866447,-73.9305,1
2023/02/10 00:00:00.000,40.81909,-73.94093,1
2023/02/10 00:00:00.000,40.73555,-73.979355,1
2023/02/11 00:00:00.000,40.8197,-73.93449,1
2023/02/11 00:00:00.000,40.769753,-73.954580000000007,1
2023/02/11 00:00:00.000,40.80425,-73.9371,1
2023/02/11 00:00:00.000,40.785194,-73.94723,2
2023/02/11 00:00:00.000,40.86679,-73.932495,1
2023/02/11 00:00:00.000,40.769863,-73.947914,2
2023/02/12 00:00:00.000,40.783245,-73.94473,1
2023/02/12 00:00:00.000,40.758533,-73.98885,1
2023/02/12 00:00:00.000,40.764286,-73.95562,2
2023/02/13 00:00:00.000,40.784157,-73.98487,1
2023/02/13 00:00:00.000,40.80119,-73.93003,1
2023/02/13 00:00:00.000,40.77818,-73.95655,1
2023/02/13 00:00:00.000,40.78818,-73.98287,1
2023/02/13 00:00:00.000,40.863163,-73.91988,1
2023/02/13 00:00:00.000,40.77904,-73.9435,5
2023/02/14 00:00:00.000,40.795326,-73.9713,1
2023/02/14 00:00:00.000,40.783844,-73.979996,1
2023/02/14 00:00:00.000,40.761486,-73.96061,1
2023/02/14 00:00:00.000,40.7132,-73.97723,4
2023/02/14 00:00:00.000,40.851303,-73.95049,1
2023/02/14 00:00:00.000,40.819572,-73.95175,1
2023/02/14 00:00:00.000,40.79395,-73.97417,1
2023/02/14 00:00:00.000,40.83406,-73.944885,1
2023/02/15 00:00:00.000,40.761555,-73.99408,3
2023/02/15 00:00:00.000,40.806705,-73.952866,1
2023/02/15 00:00:00.000,40.734837,-73.98312,1
2023/02/16 00:00:00.000,40.734814,-74.008446,1
2023/02/16 00:00:00.000,40.787685,-73.97502,1
2023/02/16 00:00:00.000,40.77202,-73.956024,1
2023/02/17 00:00:00.000,40.72289,-73.97974,2
2023/02/17 00:00:00.000,40.75224,-73.97971,1
2023/02/17 00:00:00.000,40.75991,-73.95882,1
2023/02/17 00:00:00.000,40.843246,-73.94505,2
2023/02/17 00:00:00.000,40.78515,-73.94063,1
2023/02/17 00:00:00.000,40.76428,-73.9921,1
2023/02/17 00:00:00.000,40.810863,-73.967224,1
2023/02/17 00:00:00.000,40.7402,-73.98215,1
2023/02/17 00:00:00.000,40.713013,-74.00417,1
2023/02/17 00:00:00.000,40.84544,-73.93869,3
2023/02/17 00:00:00.000,40.78542,-73.98399,1
2023/02/17 00:00:00.000,40.76542,-73.980125,1
2023/02/18 00:00:00.000,40.764053,-73.99225,2
2023/02/18 00:00:00.000,40.76788,-73.9815,1
2023/02/18 00:00:00.000,40.842438,-73.93926,1
2023/02/18 00:00:00.000,40.8115,-73.93481,1
2023/02/18 00:00:00.000,40.85891,-73.922966,1
2023/02/18 00:00:00.000,40.79808,-73.9339,1
2023/02/19 00:00:00.000,40.75565,-73.98352,2
2023/02/19 00:00:00.000,40.853542,-73.92439,1
2023/02/19 00:00:00.000,40.84364,-73.930534,2
2023/02/19 00:00:00.000,40.797306,-73.93446,1
2023/02/19 00:00:00.000,40.80336,-73.93504,2
2023/02/19 00:00:00.000,40.782887,-73.9439,7
2023/02/19 00:00:00.000,40.720554,-74.00352,1
2023/02/19 00:00:00.000,40.75738,-73.966705,1
2023/02/19 00:00:00.000,40.789448,-73.94952,1
2023/02/19 00:00:00.000,40.777233,-73.99023,2
2023/02/20 00:00:00.000,40.81861,-73.96096,1
2023/02/20 00:00:00.000,40.73453,-73.99227,3
2023/02/20 00:00:00.000,40.8468,-73.931854,1
2023/02/20 00:00:00.000,40.820435,-73.93623,1
2023/02/21 00:00:00.000,40.79653,-73.97597,2
2023/02/21 00:00:00.000,40.817226,-73.94231,3
2023/02/21 00:00:00.000,40.775677,-73.9647,1
2023/02/21 00:00:00.000,40.76974,-73.982124,1
2023/02/21 00:00:00.000,40.802593,-73.95103,4
2023/02/21 00:00:00.000,40.807037,-73.949745,2
2023/02/21 00:00:00.000,40.752888,-73.96374,2
2023/02/21 00:00:00.000,40.759624,-73.99548,1
2023/02/21 00:00:00.000,40.862312,-73.929436,1
2023/02/22 00:00:00.000,40.740185,-73.986374,6
2023/02/23 00:00:00.000,40.801125,-73.92988,2
2023/02/23 00:00:00.000,40.806343,-73.93318,2
2023/02/23 00:00:00.000,40.76635,-73.95103,1
2023/02/23 00:00:00.000,40.764896,-73.97256,1
2023/02/23 00:00:00.000,40.75991,-73.95882,1
2023/02/23 00:00:00.000,40.76525,-73.9794,1
2023/02/23 00:00:00.000,40.77553,-73.97646,1
2023/02/23 00:00:00.000,40.848118,-73.93089,1
2023/02/23 00:00:00.000,40.777874,-73.95175,1
2023/02/24 00:00:00.000,40.789684,-73.94815,2
2023/02/24 00:00:00.000,40.78519,-73.94934,1
2023/02/24 00:00:00.000,40.821796,-73.958336,2
2023/02/24 00:00:00.000,40.811066,-73.95053,4
2023/02/24 00:00:00.000,40.72293,-73.98865,1
2023/02/24 00:00:00.000,40.761852,-73.96535,1
2023/02/24 00:00:00.000,40.79337,-73.93274,1
2023/02/24 00:00:00.000,40.7488,-73.96986,1
2023/02/24 00:00:00.000,40.78065,-73.976425,1
2023/02/24 00:00:00.000,40.763542,-73.9852,1
2023/02/25 00:00:00.000,40.75462,-73.99713,1
2023/02/25 00:00:00.000,40.730476,-73.98632,2
2023/02/25 00:00:00.000,40.751404,-73.971924,2
2023/02/25 00:00:00.000,40.75348,-73.980896,1
2023/02/26 00:00:00.000,40.742252,-73.97769,1
2023/02/26 00:00:00.000,40.857426,-73.932274,3
2023/02/26 00:00:00.000,40.778137,-73.95449,1
2023/02/26 00:00:00.000,40.785534,-73.98401,1
2023/02/27 00:00:00.000,40.797867,-73.96759,1
2023/02/27 00:00:00.000,40.812145,-73.946014,1
2023/02/27 00:00:00.000,40.760155,-73.9988,1
2023/02/28 00:00:00.000,40.77178,-73.9792,1
2023/02/28 00:00:00.000,40.717724,-73.98577,1
2023/02/28 00:00:00.000,40.752197,-73.981834,1
2023/03/01 00:00:00.000,40.74608,-73.974945,2
2023/03/01 00:00:00.000,40.718864,-73.97483,1
2023/03/01 00:00:00.000,40.718864,-73.97483,2
2023/03/01 00:00:00.000,40.715157,-74.00212,1
2023/03/02 00:00:00.000,40.81404,-73.9367,1
2023/03/02 00:00:00.000,40.742706,-73.984535,2
2023/03/02 00:00:00.000,40.72889,-73.97167,2
2023/03/02 00:00:00.000,40.79672,-73.97618,1
2023/03/02 00:00:00.000,40.82523,-73.94761,1
2023/03/03 00:00:00.000,40.75702,-74.00494,2
2023/03/03 00:00:00.000,40.755222,-73.96135,1
2023/03/03 00:00:00.000,40.808277,-73.9388,2
2023/03/03 00:00:00.000,40.76457,-73.97364,1
2023/03/03 00:00:00.000,40.863235,-73.92693,1
2023/03/03 00:00:00.000,40.800392,-73.94454,2
2023/03/04 00:00:00.000,40.760822,-73.99832,1
2023/03/04 00:00:00.000,40.759525,-73.99925,1
2023/03/04 00:00:00.000,40.731163,-73.98207,1
2023/03/05 00:00:00.000,40.813385,-73.94511,3
2023/03/05 00:00:00.000,40.860664,-73.92171,1
2023/03/05 00:00:00.000,40.75346,-73.99651,2
2023/03/05 00:00:00.000,40.717724,-73.98577,3
2023/03/05 00:00:00.000,40.752724,-73.996796,1
2023/03/06 00:00:00.000,40.827816,-73.94391,1
2023/03/06 00:00:00.000,40.766544,-73.95102,1
2023/03/06 00:00:00.000,40.75388,-73.96616,1
2023/03/06 00:00:00.000,40.75355,-73.98505,1
2023/03/06 00:00:00.000,40.854202,-73.93178,1
2023/03/06 00:00:00.000,40.758713,-73.97496,2
2023/03/07 00:00:00.000,40.719204,-73.99037,3
2023/03/07 00:00:00.000,40.75435,-73.97698,1
2023/03/07 00:00:00.000,40.717278,-73.99544,1
2023/03/07 00:00:00.000,40.790752,-73.98137,1
2023/03/07 00:00:00.000,40.81542,-73.94609,2
2023/03/08 00:00:00.000,40.801956,-73.94952,1
2023/03/08 00:00:00.000,40.715473,-73.98512,1
2023/03/08 00:00:00.000,40.75529,-73.99493,1
2023/03/08 00:00:00.000,40.764606,-73.97787,1
2023/03/08 00:00:00.000,40.80119,-73.93003,1
2023/03/08 00:00:00.000,40.719395,-74.00189,1
2023/03/09 00:00:00.000,40.76516,-73.963524,3
2023/03/09 00:00:00.000,40.791954,-73.938354,1
2023/03/09 00:00:00.000,40.717194,-73.98411,1
2023/03/09 00:00:00.000,40.773033,-73.9822,1
2023/03/09 00:00:00.000,40.806915,-73.93557,2
2023/03/10 00:00:00.000,40.83089,-73.941376,2
2023/03/10 00:00:00.000,40.75337,-73.974655,1
2023/03/10 00:00:00.000,40.763897,-73.95323,1
2023/03/10 00:00:00.000,40.789345,-73.94153,1
2023/03/10 00:00:00.000,40.851685,-73.94312,2
2023/03/10 00:00:00.000,40.86369,-73.91707,1
2023/03/10 00:00:00.000,40.774406,-73.965614,1
2023/03/11 00:00:00.000,40.71664,-73.97561,1
2023/03/11 00:00:00.000,40.803024,-73.93632,1
2023/03/11 00:00:00.000,40.843433,-73.94164,1
2023/03/11 00:00:00.000,40.838078,-73.93624,1
2023/03/11 00:00:00.000,40.719482,-73.991295,1
2023/03/11 00:00:00.000,40.748436,-73.984566,2
2023/03/11 00:00:00.000,40.721207,-73.983955,1
2023/03/12 00:00:00.000,40.7968,-73.929375,1
2023/03/12 00:00:00.000,40.748398,-74.005844,1
2023/03/12 00:00:00.000,40.76118,-73.95791,1
2023/03/12 00:00:00.000,40.75991,-73.95882,2
2023/03/12 00:00:00.000,40.805534,-73.940155,1
2023/03/12 00:00:00.000,40.76241,-73.95443,1
2023/03/12 00:00:00.000,40.75834,-73.996414,1
2023/03/12 00:00:00.000,40.805096,-73.95488,1
2023/03/12 00:00:00.000,40.747627,-73.976746,1
2023/03/12 00:00:00.000,40.80777,-73.94549,2
2023/03/13 00:00:00.000,40.83147,-73.94678,2
2023/03/13 00:00:00.000,40.768692,-73.98886,1
2023/03/13 00:00:00.000,40.76844,-73.95149,1
2023/03/13 00:00:00.000,40.7808,-73.954636,1
2023/03/13 00:00:00.000,40.740185,-73.986374,1
2023/03/14 00:00:00.000,40.817596,-73.95319,1
2023/03/14 00:00:00.000,40.79084,-73.97457,1
2023/03/14 00:00:00.000,40.797813,-73.971344,3
2023/03/14 00:00:00.000,40.819637,-73.93432,2
2023/03/14 00:00:00.000,40.782005,-73.95167,1
2023/03/14 00:00:00.000,40.7606,-73.964325,2
2023/03/14 00:00:00.000,40.764153,-73.992195,1
2023/03/14 00:00:00.000,40.805782,-73.95066,1
2023/03/14 00:00:00.000,40.83037,-73.94015,2
2023/03/14 00:00:00.000,40.809402,-73.95725,1
2023/03/15 00:00:00.000,40.835808,-73.949455,1
2023/03/15 00:00:00.000,40.756527,-73.994026,1
2023/03/15 00:00:00.000,40.84272,-73.944046,1
2023/03/15 00:00:00.000,40.725082,-73.99534,1
2023/03/15 00:00:00.000,40.79175,-73.978676,3
2023/03/15 00:00:00.000,40.725174,-73.97274,1
2023/03/16 00:00:00.000,40.792015,-73.98051,2
2023/03/16 00:00:00.000,40.75591,-73.99448,1
